ID,Name,Designer,Link,Description,Image,Materials,Code,Width,Depth,Height,Seat Height
1,Solar,Faye Toogood,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/solar/,"Calm and sophisticated manifesto of contemporary style, Solar sits at the heart of Toogood’s Cosmic collection. An upholstered sofa that at first glance",https://www.tacchini.it/wp-content/uploads/2024/04/Tacchini-Solar-Sofa.svg,"Solar sofa: wooden frame, cold-foam padding covered with polyurethane foam in different densities, recycled PET fiber padding. Not removable cover.; Solar daybed: wooden frame covered with polyurethane foam at different densities, recycled PET fiber padding. Not removable cover.",Cod.,240,240,110,78.0
1,Solar,Faye Toogood,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/solar/,"Calm and sophisticated manifesto of contemporary style, Solar sits at the heart of Toogood’s Cosmic collection. An upholstered sofa that at first glance",https://www.tacchini.it/wp-content/uploads/2024/04/Tacchini-Solar-Sofa.svg,"Solar sofa: wooden frame, cold-foam padding covered with polyurethane foam in different densities, recycled PET fiber padding. Not removable cover.; Solar daybed: wooden frame covered with polyurethane foam at different densities, recycled PET fiber padding. Not removable cover.",Cod.,200,90,200,70.0
2,Additional System,Joe Colombo,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/additional-system-sofa/,Modules with unusual shapes give life to original seating configurations where aggregation and variability take center stage. Additional System is a,https://www.tacchini.it/wp-content/uploads/2024/04/Tacchini-Additional-System-Daybed.svg,Wood frame covered with polyurethane foam in different densities.; Base and inserts made of aluminum.; Covers made of leather or fabric.; Removable cover.,Cod.,180,90,180,53.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,ArmchairCod.,120,128,100,66.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,Right,120,120,128,100.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,Left,120,120,128,100.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,Right,90,90,96,100.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,Left,90,90,96,100.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,Central,90,90,96,100.0
3,Le Mura,Mario Bellini,https://www.tacchini.it/en/https://www.tacchini.it/en/sofas/le-mura/,The project Le Mura by Mario Bellini represents the manifesto of a radical design that went through all the Italian 70s: design was as an answer to,https://www.tacchini.it/wp-content/uploads/2023/06/Tacchini-LeMura-Armchair.svg,Upholstery: removable.; Clasp and zipper:,OttomanCod.,90,96,96,44.0
